"CCU","Type","OnHired","OffHired","Client","CCU Supplier","CCU Owner","Last Seen","Last Seen Date","Last Known Cvx Code","Last Known Cvx Customer","DaysOnHire","Earliest Test Expiry","Test Expiry","CSC Test Expiry","Visual Test Expiry","Pressure Test Expiry","Hydrostatic Test Expiry","NDT Test Expiry","CostPerDay","Reporting Period","Lat","Long","Comments"
"10272","6M/20ft Dry Goods","2024-06-26","","WHS US CORE: 0061132381","OEG","OEG - AUS - Gap Ridge","Wheatstone Platform","2025-11-29","WHSUSOPS","Operations",530,"2026-03-17","","","2026-03-17","","","2028-06-23","$$","10/11/2025 - 08/12/2025","-19.9388889","115.38472222222222",
"2011970392","Tuff Tank III - 275 Gallon","2022-07-16","","Wheatstone Downstream: 0061132384","OEG","OEG - AUS - Forrestdale Tank's � Allen Rd","PASCOM COMMERCIAL","2024-04-03","WHSDSOPS",,1241,"2026-09-16","","","","2026-09-16","","","$$","10/11/2025 - 08/12/2025",,,
"2011970393","Tuff Tank III","2022-07-16","","Wheatstone Downstream: 0061132384","OEG","OEG - AUS - Forrestdale Tank's � Allen Rd","Wheatstone Downstream","2025-06-23",,,1241,"","","","","","","","$$","10/11/2025 - 08/12/2025","-21.696748723992084","115.00170971879419",
"2011970394","Tuff Tank III","2022-07-16","","Wheatstone Downstream: 0061132384","OEG","OEG - AUS - Forrestdale Tank's � Allen Rd","Wheatstone Downstream","2025-09-15",,,1241,"2027-03-18","","","","2027-03-18","","","$$","10/11/2025 - 08/12/2025","-21.696748723992084","115.00170971879419",
"2011970395","Tuff Tank III","2022-07-16","","Wheatstone Downstream: 0061132384","OEG","OEG - AUS - Forrestdale Tank's � Allen Rd","PASCOM COMMERCIAL","2024-04-03","WHSDSOPS",,1241,"2026-09-16","","","","2026-09-16","","","$$","10/11/2025 - 08/12/2025",,,
"2011970396","Tuff Tank III","2022-07-16","","Wheatstone Downstream: 0061132384","OEG","OEG - AUS - Forrestdale Tank's � Allen Rd","Wheatstone Downstream","2025-06-23",,,1241,"2027-03-19","","","","2027-03-19","","","$$","10/11/2025 - 08/12/2025","-21.696748723992084","115.00170971879419",
"2011970397","Tuff Tank III","2022-07-16","","Wheatstone Downstream: 0061132384","OEG","OEG - AUS - Forrestdale Tank's � Allen Rd","Wheatstone Downstream","2025-09-15",,,1241,"2027-03-19","","","","2027-03-19","","","$$","10/11/2025 - 08/12/2025","-21.696748723992084","115.00170971879419",
"2011970398","Tuff Tank III","2022-07-16","","Wheatstone Downstream: 0061132384","OEG","OEG - AUS - Forrestdale Tank's � Allen Rd","PASCOM COMMERCIAL","2024-04-03","WHSDSOPS",,1241,"2026-09-17","","","","2026-09-17","","","$$","10/11/2025 - 08/12/2025",,,
"2011970399","Tuff Tank III","2022-07-16","","Wheatstone Downstream: 0061132384","OEG","OEG - AUS - Forrestdale Tank's � Allen Rd","Wheatstone Downstream","2025-09-15",,,1241,"2027-03-19","","","","2027-03-19","","","$$","10/11/2025 - 08/12/2025","-21.696748723992084","115.00170971879419",
"2011970400","Tuff Tank III","2022-07-27","","Wheatstone Downstream: 0061132384","OEG","OEG - AUS - Forrestdale Tank's � Allen Rd","PASCOM COMMERCIAL","2024-04-03","WHSDSOPS",,1230,"2026-09-16","","","","2026-09-16","","","$$","10/11/2025 - 08/12/2025",,,
