"CCU","Description","Description Group","Supplier","Ownership","Department","Last Seen","Last Seen Date","Test Expiry","Pressure Test Expiry","Disposal Date","Reporting Period"
"1133458","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"1161803","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"1188168","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"1209135","10'GP","10' Container","Gorgon Owned","GFP","",,"","","","","2021-08-03"
"1243279","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"1247650","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"1256287","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"1281200","40FT FLAT RACK ","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"1332828","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"1381200","40FT FLAT RACK ","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"1401200","40FT FLAT RACK ","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"1451200","40FT FLAT RACK ","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"14671200","40FT FLAT RACK ","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"151903","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"1571200","40FT FLAT RACK ","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"1591200","40FT FLAT RACK ","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"1611200","40FT FLAT RACK ","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"1628600","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"168200","40FT FLAT RACK ","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"1683259","40'GP Storage","40' Container","Gorgon Owned","GFP","","Barrow Island MOF","2022-04-16","","","","2021-08-03"
"1821100","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"1911200","40FT FLAT RACK ","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"1925","20FT","","Wheatstone Owned","","","Wheatstone Downstream","2022-08-13","","","","2022-11-23"
"1941200","40FT FLAT RACK ","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"2000130","20'GP Storage","20' Container","Gorgon Owned","GFP","","Barrow Island MOF","2021-12-07","","","","2021-08-03"
"2000167","20'GP Storage","20' Container","Gorgon Owned","GFP","",,"","","","","2021-08-03"
"2000609","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"2011970382","Tuff Tank III - 400 Gallon - H/C","","Wheatstone Owned","WHS DS CORE (WHSDSOPS)","","OEG","2023-06-29","","2023-12-01","","2023-08-10"
"2011970383","Tuff Tank III - 400 Gallon - H/C","","Wheatstone Owned","WHS DS CORE (WHSDSOPS)","","OEG","2023-06-29","","2023-12-01","","2023-08-10"
"2011970384","Tuff Tank III - 400 Gallon - H/C","","Wheatstone Owned","WHS DS CORE (WHSDSOPS)","","OEG","2023-06-29","","2023-12-01","","2023-08-10"
"2011970385","Tuff Tank III - 400 Gallon - H/C","","Wheatstone Owned","WHS DS CORE (WHSDSOPS)","","OEG","2023-06-29","","2023-12-01","","2023-08-10"
"2011970386","Tuff Tank III - 400 Gallon - H/C","","Wheatstone Owned","WHS DS CORE (WHSDSOPS)","","OEG","2023-06-29","","2023-12-01","","2023-08-10"
"2011970387","Tuff Tank III - 400 Gallon - H/C","","Wheatstone Owned","WHS DS CORE (WHSDSOPS)","","OEG","2023-06-29","","2023-12-01","","2023-08-10"
"2011970388","Tuff Tank III - 400 Gallon - H/C","","Wheatstone Owned","WHS DS CORE (WHSDSOPS)","","OEG","2023-06-29","","2023-12-01","","2023-08-10"
"2105427","CONTAINER 20FT FIXTURE - HYDRAULIC HOSE WORKSHOP","","Gorgon Owned","","","Barrow Island MOF","2022-04-15","2021-04-01","","","2022-11-28"
"2199125","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Sadleirs Resources","2023-10-21","","","2023-10-19","2022-11-23"
"248849","CONTAINER 20FT GENERAL PURPOSE","20' Container","Gorgon Owned","Gorgon Ops","",,"","","","","2021-08-03"
"2540141","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"2773436","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"2897815","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Sadleirs Resources","2024-02-12","","","","2022-11-23"
"300170","20FT HC BUND","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"300251","20FT HC BUND","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"3030120","20' GP Container","20' GP Container","Wheatstone Owned","ABU","","Disposal Contractor","2022-10-30","","","2022-10-31","2022-11-17"
"3313984","40FT FLAT RACK ","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"3336095","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"3474722","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"3603394","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"360518","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"360523","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"360526","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"360527","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"360719","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"360728","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"3640007","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"366314","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"366315","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"366325","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"366330","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"3920339","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"392840","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4000200","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4000637","40FT GENERAL PURPOSE","","Wheatstone Owned","","","ROSS'S AUCTIONS","2024-10-30","","","","2022-11-23"
"4008227","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4013997","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4044890","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4205629","40'GP Storage","40' Container","Gorgon Owned","GFP","",,"","","","","2021-08-03"
"4246120","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4255688","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4288871","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4302961","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4305066","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4309098","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4309544","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4310756","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4313020","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4314875","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4359912","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4368277","40FT WORKSHOP","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4386938","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4389973","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4406689","CONTAINER 40FT GENERAL PURPOSE","40' Container","Gorgon Owned","Gorgon Ops","",,"","","","","2021-08-03"
"4424677","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4425457","40FT WORKSHOP","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4425478","40FT WORKSHOP","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4429684","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4430324","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4489851","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4500663","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4502462","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4537193","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"469657","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"4764994","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"500068","CROW","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"500369","CROW","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"500740","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"500741","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"500742","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"500743","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"500744","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"500747","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"500750","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"500751","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"500752","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
